ticker_symbol,industry,sector,website,shares,regularMarketPrice
LULU,Apparel Retail,Consumer Cyclical,https://shop.lululemon.com,2,186.44
REGN,Biotechnology,Healthcare,https://www.regeneron.com,2,545.94
MA,Credit Services,Financial Services,https://www.mastercard.com,2,573.59
ITW,Specialty Industrial Machinery,Industrials,https://www.itw.com,2,256.89
NFLX,Entertainment,Communication Services,https://www.netflix.com,1,1218.31
ADBE,Software - Application,Technology,https://www.adobe.com,1,333.65
RCL,Travel Services,Consumer Cyclical,https://www.rclinvestor.com,1,302.86
SHW,Specialty Chemicals,Basic Materials,https://www.sherwin-williams.com,1,354.58
MSCI,Financial Data & Stock Exchanges,Financial Services,https://www.msci.com,1,549.39
SNA,Tools & Accessories,Industrials,https://www.snapon.com,1,321.17
LLY,Drug Manufacturers - General,Healthcare,https://www.lilly.com,1,635.22
MSFT,Software - Infrastructure,Technology,https://www.microsoft.com,1,521.77
BKNG,Travel Services,Consumer Cyclical,https://www.bookingholdings.com,0,5364.25
TDG,Aerospace & Defense,Industrials,https://www.transdigm.com,0,1409.55
KLAC,Semiconductor Equipment & Materials,Technology,https://www.kla.com,0,910.18
FICO,Software - Application,Technology,https://www.fico.com,0,1311.26
SNPS,Software - Infrastructure,Technology,https://www.synopsys.com,0,616.12
